"var","var_2","cor"
"461","por_cal34_max1m3","por_cal4_1m",0.9577
"462","por_cal34_max1m3","por_cal0_min1m3",-0.8349
"463","por_cal34_max1m3","por_mora_0_min1m3",-0.8584
"464","por_cal34_max1m3","por_vig_min1m3",-0.9703
"465","por_cal34_max1m3","por_castigo_max1m3",0.9181
"466","por_cal34_max1m3","saldo_castigo_max1m3",0.5668
"467","por_cal34_max1m3","frec_por_cal0_100_1m12",-0.7918
"468","por_cal34_max1m3","saldo_cal4_1m",0.5883
"469","por_cal34_max1m3","por_vig_min1m6",-0.9543
"470","por_cal34_max1m3","saldo_cal234_max1m3",0.3461
"471","por_cal34_max1m3","por_mora30_max1m3",0.9596
